100 2461
0 1 7053
0 2 1860
0 3 1547
0 4 3310
0 6 2303
0 8 3121
0 10 368
0 11 9829
0 12 1100
0 13 4373
0 14 2425
0 15 8674
0 16 3411
0 18 1506
0 19 7290
0 20 8483
0 22 3792
0 23 6801
0 25 1595
0 28 289
0 31 9049
0 33 5432
0 37 2181
0 38 7697
0 45 7927
0 47 8594
0 48 8666
0 50 3069
0 54 9883
0 55 4704
0 56 5187
0 57 968
0 58 4336
0 60 6529
0 61 7646
0 62 3499
0 64 2056
0 65 8893
0 66 774
0 74 2544
0 75 3559
0 76 3162
0 78 3689
0 80 7432
0 81 2499
0 82 921
0 83 8883
0 84 5955
0 85 7270
0 86 1510
0 87 3792
0 88 5188
0 89 8077
0 90 7887
0 91 1661
0 92 8171
0 93 6386
0 95 2037
0 97 8211
0 99 3581
1 2 6118
1 4 747
1 5 7444
1 9 1140
1 12 2079
1 13 1560
1 14 1597
1 16 9052
1 19 2753
1 23 2653
1 24 8013
1 29 7176
1 30 1036
1 31 8570
1 33 8222
1 38 7588
1 40 6704
1 44 6919
1 47 771
1 49 9719
1 50 499
1 52 2515
1 53 1993
1 54 3060
1 56 2501
1 57 9051
1 58 6767
1 61 3544
1 63 6384
1 64 6628
1 65 5723
1 71 7257
1 74 5103
1 77 5853
1 78 7582
1 79 1296
1 81 7162
1 86 9697
1 88 2453
1 89 2315
1 91 1272
1 93 813
1 94 993
1 96 4136
1 99 9822
2 4 8848
2 5 5519
2 8 7061
2 10 238
2 12 5552
2 13 6244
2 15 7966
2 17 8476
2 18 9066
2 19 4452
2 22 9235
2 24 3814
2 25 6011
2 27 8687
2 31 6311
2 33 9449
2 34 2076
2 37 2170
2 38 6809
2 40 1479
2 43 659
2 45 3575
2 49 4741
2 52 6845
2 53 6499
2 55 7884
2 56 1343
2 57 8559
2 58 8442
2 59 7577
2 61 7198
2 62 69
2 63 6396
2 68 7259
2 70 200
2 71 4905
2 72 4682
2 73 6398
2 75 4633
2 76 5316
2 78 8651
2 80 4192
2 82 2093
2 85 1336
2 86 5098
2 87 653
2 88 4436
2 89 8895
2 90 4666
2 91 5201
2 93 7218
2 95 3796
2 98 7066
3 6 6733
3 7 9086
3 8 6227
3 9 6411
3 12 5951
3 13 1659
3 14 4370
3 15 9255
3 16 2223
3 17 3693
3 19 7023
3 21 9042
3 23 6880
3 24 8223
3 25 6139
3 28 9129
3 29 4815
3 32 2441
3 34 2755
3 35 875
3 37 2218
3 41 6278
3 42 2943
3 45 9124
3 46 6314
3 47 9252
3 49 5970
3 51 8585
3 52 552
3 53 612
3 54 5708
3 57 7839
3 58 7526
3 59 3942
3 60 1117
3 62 7653
3 66 1557
3 67 9611
3 69 7894
3 70 8214
3 71 8054
3 72 7842
3 75 844
3 76 8305
3 78 2769
3 79 1131
3 86 9887
3 87 6618
3 89 6214
3 94 334
3 96 9605
3 97 2324
4 5 176
4 8 6068
4 9 205
4 12 1883
4 14 3760
4 15 3541
4 16 6561
4 18 6496
4 21 9844
4 22 7217
4 28 7133
4 29 5092
4 32 3887
4 34 1394
4 35 1517
4 36 200
4 37 2147
4 38 9658
4 42 5674
4 45 6915
4 50 7296
4 51 710
4 52 2462
4 53 1260
4 54 1162
4 59 4021
4 62 2242
4 63 8190
4 64 4015
4 67 3824
4 69 8276
4 70 231
4 71 9666
4 74 7844
4 75 5453
4 77 9743
4 81 7264
4 82 4922
4 85 9648
4 86 7850
4 87 9957
4 88 5291
4 90 3290
4 91 9334
4 92 5612
4 95 1197
4 99 9397
5 7 5335
5 10 8216
5 12 9517
5 15 9182
5 16 3175
5 18 2402
5 19 7052
5 21 7497
5 23 2267
5 29 9103
5 30 9187
5 34 3102
5 35 9065
5 36 4314
5 38 8638
5 41 2528
5 42 4635
5 43 4837
5 44 7972
5 45 8707
5 53 3465
5 57 5956
5 61 8843
5 62 4540
5 64 7710
5 66 5309
5 71 6362
5 72 81
5 73 5990
5 75 818
5 76 9428
5 77 8379
5 78 2867
5 79 9463
5 81 280
5 87 4871
5 89 8443
5 92 355
5 95 5647
5 99 957
6 7 8339
6 8 9440
6 13 8572
6 15 3884
6 17 2816
6 20 2721
6 22 3483
6 24 8899
6 27 8854
6 28 8419
6 29 7054
6 32 9346
6 33 2517
6 35 9354
6 36 1465
6 41 7759
6 42 2067
6 43 6498
6 45 2164
6 55 757
6 56 7761
6 57 3198
6 60 561
6 62 3527
6 64 9443
6 66 5582
6 67 7949
