109 2913
0 1 514
0 2 3725
0 3 8679
0 4 2484
0 6 7826
0 8 1802
0 10 5404
0 11 2955
0 12 6150
0 13 8171
0 14 5900
0 15 1230
0 16 5618
0 18 1849
0 19 6392
0 20 1014
0 22 4556
0 23 9644
0 25 8568
0 28 7962
0 31 4806
0 33 2713
0 37 8288
0 38 8290
0 45 6793
0 47 9917
0 48 9564
0 50 9171
0 54 3261
0 55 3767
0 56 3981
0 57 6049
0 58 9820
0 60 3336
0 61 8806
0 62 9112
0 64 8541
0 65 737
0 66 3904
0 74 8122
0 75 7749
0 76 5471
0 78 2535
0 80 853
0 81 5910
0 82 3046
0 83 7643
0 84 3394
0 85 1719
0 86 302
0 87 5652
0 88 9747
0 89 7497
0 90 2904
0 91 5690
0 92 2610
0 93 4267
0 95 6236
0 97 1652
0 99 9460
0 100 8842
0 102 4003
0 103 3093
0 107 6077
1 3 3499
1 4 7938
1 5 8697
1 7 7634
1 10 155
1 14 578
1 15 974
1 20 427
1 21 688
1 22 1717
1 24 4780
1 29 5750
1 31 1515
1 35 4737
1 38 9868
1 40 3114
1 41 4024
1 43 5814
1 44 9069
1 45 3870
1 47 6945
1 48 645
1 49 4659
1 52 6207
1 54 7603
1 55 3771
1 56 6543
1 62 1290
1 65 4126
1 68 6755
1 69 5727
1 70 3998
1 72 7851
1 77 3379
1 79 225
1 80 6932
1 82 762
1 84 117
1 85 4680
1 87 7511
1 90 7847
1 92 4871
1 93 3027
1 96 3519
1 98 5933
1 100 6696
1 101 9420
1 103 5972
1 105 5274
1 106 5278
1 107 5881
2 4 1771
2 6 5618
2 7 2855
2 9 7287
2 13 6957
2 15 1284
2 16 1408
2 19 4818
2 20 2684
2 22 8790
2 25 9622
2 27 1579
2 31 9070
2 34 2527
2 35 1997
2 37 8217
2 38 8797
2 39 9863
2 40 2254
2 41 9904
2 43 8893
2 44 5425
2 45 7220
2 50 2937
2 52 754
2 53 3395
2 54 7731
2 55 9367
2 57 7174
2 58 5259
2 60 1004
2 62 168
2 64 7668
2 67 5429
2 68 1095
2 69 8133
2 70 8188
2 71 4015
2 72 788
2 73 9483
2 75 4058
2 77 1011
2 80 9822
2 84 7571
2 85 2013
2 86 887
2 87 9485
2 90 1512
2 91 5347
2 92 1881
2 93 1831
2 94 3363
2 95 2598
2 97 3234
2 99 7230
2 101 3632
2 102 2748
2 103 4646
2 106 4030
2 107 5831
3 5 2762
3 7 3269
3 8 4866
3 10 1038
3 14 1725
3 15 5661
3 18 3962
3 19 4645
3 20 9554
3 22 5027
3 24 5916
3 25 4897
3 26 8722
3 27 3255
3 30 9471
3 31 2036
3 32 8526
3 33 251
3 35 8537
3 39 4995
3 40 9216
3 42 8270
3 43 2237
3 44 1588
3 45 3474
3 48 8267
3 49 712
3 51 3682
3 52 6923
3 59 2143
3 60 8687
3 62 5915
3 67 3928
3 69 5113
3 70 6524
3 73 5889
3 76 2090
3 77 7893
3 80 91
3 82 8505
3 83 7833
3 84 2354
3 86 662
3 89 9790
3 90 3091
3 96 1374
3 97 6167
3 100 8018
3 102 4817
3 103 5401
3 104 5000
3 105 8782
3 106 7967
4 6 1538
4 9 204
4 14 3130
4 15 9865
4 16 9492
4 17 4365
4 18 5791
4 23 7388
4 26 4920
4 27 3080
4 28 3397
4 31 7817
4 33 1664
4 34 5155
4 35 1757
4 38 9670
4 39 9998
4 41 4655
4 45 940
4 46 8015
4 49 7773
4 50 6962
4 51 8663
4 52 2725
4 54 3010
4 55 5822
4 56 3769
4 59 918
4 63 4049
4 65 7985
4 68 3734
4 70 3750
4 73 7371
4 74 3042
4 76 5608
4 77 5647
4 79 1792
4 81 8201
4 87 175
4 88 8332
4 92 1595
4 93 4385
4 94 7894
4 96 3187
4 99 5119
4 100 6415
4 101 936
4 102 6358
4 103 2991
5 8 4363
5 12 4883
5 16 2491
5 17 5330
5 19 679
5 21 2610
5 26 7951
5 27 5912
5 28 1075
5 30 20
5 31 365
5 32 428
5 33 3913
5 34 2875
5 36 6694
5 42 1279
5 44 8688
5 47 8487
5 50 1436
5 54 8117
5 55 8864
5 56 4421
5 61 2075
5 63 2709
5 65 5546
5 68 4983
5 70 7068
5 72 4739
5 75 7079
5 76 1762
5 77 475
5 80 4178
5 81 5537
5 83 1822
5 84 6403
5 89 8044
5 90 582
5 91 5479
5 93 6094
5 103 1297
5 104 2366
5 105 3665
5 108 8524
6 8 7878
6 10 9442
6 12 4220
6 13 4529
6 14 6636
6 15 2046
6 16 843
6 19 9762
6 20 6957
6 21 7202
6 23 9001
6 24 9703
6 25 5057
6 26 4273
6 27 402
6 28 3233
6 29 3467
6 30 6605
6 32 6804
6 33 7989
6 35 993
6 36 9875
6 38 2749
6 42 1214
6 43 5307
6 44 3898
6 45 1820
6 48 142
6 51 7878
6 52 3268
6 54 7713
6 55 4776
6 57 3440
6 58 5083
6 59 7941
6 61 7833
6 63 2320
6 68 8404
6 69 1010
6 70 545
6 71 5399
6 72 7361
6 74 8319
6 75 8151
6 76 3310
6 78 6380
6 80 3782
6 82 8151
6 83 9028
6 84 2106
6 85 5968
6 88 2407
6 91 7647
6 92 1146
6 95 5256
6 99 5190
6 102 8650
6 104 5469
6 105 2363
6 106 2617
6 107 6040
7 8 3167
7 9 6
7 11 1242
7 14 9927
7 15 6085
7 16 1534
7 17 1672
7 19 9611
7 21 5298
7 26 1070
7 27 5543
7 28 3212
7 30 8668
7 31 2705
7 32 8916
7 33 6889
7 34 650
7 36 7749
7 37 1514
7 39 2554
7 42 4362
7 43 9089
7 45 9554
7 51 8567
7 52 9476
7 55 3264
7 56 7394
7 63 8794
7 65 2279
7 67 2379
7 68 2895
7 69 616
7 70 3514
7 74 8082
7 76 2274
7 80 4659
7 81 1947
7 83 9739
